user,spec_ndcg@10,llm_ndcg@10,llm_offcatalog,llm_n_valid
4,0.1389,0.0,1,11
8,0.1564,0.0,0,12
12,0.1232,0.0,0,12
60,0.2372,0.6131,2,10
77,0.1413,0.148,2,10
83,0.0,0.0,0,12
98,0.0,0.0,0,12
185,0.0,0.151,1,11
199,0.11,0.0,0,12
200,0.0,0.0,0,12
209,0.0,0.0,0,12
225,0.0,0.0,1,11
236,0.0,0.0,1,11
252,0.0,0.0875,0,12
279,0.0,0.0,0,12
283,0.0,0.0,0,12
296,0.6509,0.2641,0,12
355,0.0,0.2641,2,10
359,0.0,0.2333,0,12
401,0.0,0.0,0,12
409,0.0851,0.3223,0,12
416,0.0,0.1564,1,11
437,0.2201,0.0851,2,10
475,0.0734,0.0663,0,12
493,0.0,0.0,0,12
527,0.1518,0.1737,1,11
560,0.0,0.0,0,12
562,0.0,0.1514,0,12
581,0.1009,0.0,0,12
603,0.4787,0.0,0,12
