index,recall@10_vs_exact,ndcg@10,recall@20,lat_mean_ms,lat_p95_ms,index_mb
Flat (exact / Milvus FLAT),1.0,0.0482,0.0205,2.3582,3.2885,30.22
IVF_FLAT nlist=128 nprobe=1,0.3501,0.0463,0.0135,0.0397,0.0588,30.69
IVF_FLAT nlist=128 nprobe=4,0.6493,0.0481,0.0138,0.103,0.169,30.69
IVF_FLAT nlist=128 nprobe=8,0.7847,0.0488,0.0141,0.2522,0.3732,30.69
IVF_FLAT nlist=128 nprobe=16,0.8929,0.0491,0.0141,0.4153,0.6254,30.69
IVF_FLAT nlist=128 nprobe=32,0.9624,0.0485,0.0137,0.8514,1.1955,30.69
IVF_FLAT nlist=128 nprobe=64,0.9927,0.0483,0.0137,1.7103,2.1821,30.69
HNSW M=32 efSearch=16,0.9787,0.0481,0.0136,0.1951,0.2914,32.89
HNSW M=32 efSearch=32,0.9914,0.0481,0.0136,0.3301,0.4761,32.89
HNSW M=32 efSearch=64,0.9979,0.0482,0.0137,0.59,0.8375,32.89
HNSW M=32 efSearch=128,0.9999,0.0482,0.0137,1.0117,1.4155,32.89
HNSW M=32 efSearch=256,1.0,0.0482,0.0137,1.4538,1.8212,32.89
