user,ndcg@10,n_train,n_test,rec_pop_pctile,top_genre_share,user_train_pop_pctile,avg_test_pop_pctile,test_in_universe_frac,failure
454,0.0,14,3,0.987,0.9,0.858,0.959,1.0,genre_over_concentration
248,0.0,14,4,0.961,0.9,0.801,0.769,1.0,genre_over_concentration
247,0.0,67,17,0.977,0.5,0.951,0.887,1.0,popularity_bias
534,0.0,220,55,0.959,0.7,0.714,0.627,0.82,genre_over_concentration
244,0.0,38,10,0.989,0.3,0.916,0.661,1.0,popularity_bias
243,0.0,18,5,0.983,0.5,0.839,0.73,1.0,popularity_bias
242,0.0,10,2,0.988,0.6,0.946,0.768,1.0,genre_over_concentration
241,0.0,27,7,0.986,0.7,0.855,0.469,1.0,niche_cold_taste
240,0.0,48,12,0.968,0.7,0.824,0.689,1.0,genre_over_concentration
411,0.0,28,7,0.974,0.4,0.951,0.754,1.0,popularity_bias
238,0.0,21,5,0.236,1.0,0.594,0.636,0.8,genre_over_concentration
237,0.0,8,2,0.994,0.7,0.9,0.967,1.0,genre_over_concentration
236,0.0,13,3,0.981,0.6,0.837,0.655,1.0,genre_over_concentration
413,0.0,38,9,0.989,0.5,0.924,0.73,1.0,popularity_bias
231,0.0,12,3,0.989,0.8,0.991,0.948,1.0,genre_over_concentration
230,0.0,24,6,0.965,0.8,0.82,0.81,1.0,genre_over_concentration
533,0.0,19,5,0.993,0.6,0.879,0.531,1.0,genre_over_concentration
250,0.0,15,4,0.779,0.7,0.771,0.793,0.75,genre_over_concentration
252,0.0,22,6,0.915,0.7,0.704,0.927,1.0,genre_over_concentration
253,0.0,10,2,0.957,0.6,0.79,0.865,1.0,genre_over_concentration
282,0.0,129,32,0.987,0.5,0.898,0.832,1.0,popularity_bias
522,0.0,82,20,0.988,0.5,0.887,0.865,1.0,popularity_bias
279,0.0,60,15,0.985,0.5,0.901,0.768,1.0,popularity_bias
524,0.0,41,10,0.988,0.6,0.913,0.767,1.0,genre_over_concentration
526,0.0,28,7,0.988,0.7,0.845,0.833,0.86,genre_over_concentration
272,0.0,13,3,0.982,0.8,0.904,0.601,1.0,genre_over_concentration
270,0.0,8,2,0.964,0.6,0.919,0.887,1.0,genre_over_concentration
538,0.0,21,5,0.973,0.9,0.82,0.712,1.0,genre_over_concentration
269,0.0,8,2,0.995,0.6,0.907,0.652,1.0,genre_over_concentration
410,0.0,47,12,0.961,0.7,0.82,0.771,1.0,genre_over_concentration
