trial,inner_ndcg@10,factors,regularization,iterations,alpha
15,0.116,27,0.04315398726042296,35,3.751383703918126
32,0.115,25,0.31366473434652237,42,3.7395599847902568
34,0.1137,23,0.28181196139488185,54,3.100235091991575
21,0.1135,17,0.3539758648796497,36,3.637448522987138
26,0.1135,19,0.44477824932969057,40,3.677861784617276
20,0.1131,17,0.42019222366596604,36,4.078920793061615
31,0.1127,19,0.4721593043328172,37,6.286246493581904
22,0.1122,16,0.37611985857935887,36,8.653754169937717
19,0.1115,16,0.29475339164072817,24,4.462056431428725
18,0.1111,22,0.16933893815295759,24,5.367068562927631
35,0.1098,25,0.23932297815924672,55,7.1847773377091775
23,0.1094,21,0.45767586994988346,40,1.1941715597735634
17,0.1092,23,0.07394562677131433,26,6.316015282920462
24,0.1081,32,0.9265741777667683,34,4.5441882421965465
30,0.1074,43,0.20290718015158218,32,3.3694318584500422
4,0.1074,36,0.03752055855124281,29,12.357936467723635
25,0.1071,26,0.12225563606316896,45,10.067333170767194
16,0.107,37,0.0655572204862007,36,1.473247660492207
11,0.1069,28,0.023460744555399843,49,14.823369243014767
33,0.1066,27,0.10019658989676443,43,9.903220353414834
27,0.1064,21,0.006839305822689295,50,16.906106964252196
9,0.1053,36,0.001963434157293333,43,18.16594725584445
12,0.1047,30,0.026885558186432595,56,12.289209715176458
0,0.103,44,0.711447600934342,45,24.347680883684426
13,0.1029,17,0.06770519406824155,31,26.38199526383699
8,0.1024,19,0.7025166339242155,59,32.527496576541985
38,0.1014,51,0.0922608885061854,47,9.41896301828715
1,0.0994,24,0.0029375384576328283,8,34.78086968522247
37,0.0984,34,0.8106149171392756,60,39.58898896575248
39,0.0971,20,0.05125266198304269,42,36.27516665946214
14,0.0969,49,0.009517136197756512,51,12.082626231478983
36,0.0954,42,0.15645561621409967,53,30.686734518453274
29,0.0952,65,0.620775361621576,46,24.096621920905786
7,0.0937,82,0.001378323745500718,39,7.650440823804369
6,0.0913,56,0.22673986523780384,16,21.055143098130852
5,0.0863,86,0.002621087878265439,21,15.288111888453976
2,0.0836,84,0.13311216080736885,6,38.82648423431778
28,0.0748,120,0.04451984228016861,40,11.699650452034682
3,0.0656,160,0.004335281794951566,15,8.152775884283919
10,0.0628,220,0.014887321027627614,29,1.7005131489779792
